survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
0,3,1,-0.533580866593202,1,0,-0.5867280611818004,2,Third,1,True,,Southampton,no,False,2
1,1,0,0.5512981571393359,1,0,0.8309008505607898,0,First,0,False,C,Cherbourg,yes,False,2
1,3,0,-0.26236111066006756,0,0,-0.5717842816885328,2,Third,0,False,,Southampton,yes,True,1
1,1,0,0.34788334018948514,1,0,0.42834199773126147,2,First,0,False,C,Southampton,yes,False,2
0,3,1,0.34788334018948514,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,1,,0,0,-0.5599775889422224,1,Third,1,True,,Queenstown,no,True,1
0,1,1,1.6361771808718741,0,0,0.40094506866027085,2,First,1,True,E,Southampton,no,True,1
0,3,1,-1.8896796462588747,3,1,-0.28065731822709855,2,Third,0,False,,Southampton,no,False,5
1,3,0,-0.19455617167678393,0,2,-0.5007559442837177,2,Third,0,False,,Southampton,yes,False,3
1,2,0,-1.076020378459471,1,0,-0.08149990850037836,0,Second,0,False,,Cherbourg,yes,False,2
1,3,0,-1.7540697682923074,1,1,-0.3775151482760548,2,Third,0,False,G,Southampton,yes,False,3
1,1,0,1.9073969368050085,0,0,-0.15944666233726182,2,First,0,False,C,Southampton,yes,True,1
0,3,1,-0.6691907445597693,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,1,0.6191030961226196,1,5,-0.05484020588438907,2,Third,1,True,,Southampton,no,False,7
0,3,0,-1.076020378459471,0,0,-0.5733517181153822,2,Third,0,False,,Southampton,no,True,1
1,2,0,1.7039821198551577,0,0,-0.3930124010838878,2,Second,0,False,,Southampton,yes,True,1
0,3,1,-1.8896796462588747,4,1,-0.10243891093701898,1,Third,0,False,,Queenstown,no,False,6
1,2,1,,0,0,-0.45942919883174355,2,Second,1,True,,Southampton,yes,True,1
0,3,0,0.07666358425635059,1,0,-0.34873453591865067,2,Third,0,False,,Southampton,no,False,2
1,3,0,,0,0,-0.5872815344963658,0,Third,0,False,,Cherbourg,yes,True,1
0,2,1,0.34788334018948514,0,0,-0.17162307525770204,2,Second,1,True,,Southampton,no,True,1
1,2,1,0.2800784012062015,0,0,-0.45942919883174355,2,Second,1,True,D,Southampton,yes,True,1
1,3,0,-1.0082154394761875,0,0,-0.569477404913424,1,Third,0,False,,Queenstown,yes,True,1
1,1,1,-0.1267512326935003,0,0,0.038696784277174455,2,First,1,True,A,Southampton,yes,True,1
0,3,0,-1.4828500123591728,3,1,-0.28065731822709855,2,Third,0,False,,Southampton,no,False,5
1,3,0,0.5512981571393359,1,5,-0.052349575968844465,2,Third,0,False,,Southampton,yes,False,7
0,3,1,,0,0,-0.5872815344963658,0,Third,1,True,,Cherbourg,no,True,1
0,1,1,-0.736995683543053,3,2,5.061467113958765,2,First,1,True,C,Southampton,no,False,6
1,3,0,,0,0,-0.5727982448008168,1,Third,0,False,,Queenstown,yes,True,1
0,3,1,,0,0,-0.5724307385199453,2,Third,1,True,,Southampton,no,True,1
0,1,1,0.6869080351059033,0,0,-0.13352640006953198,0,First,1,True,,Cherbourg,no,True,1
1,1,0,,1,0,2.496578790745555,0,First,0,False,B,Cherbourg,yes,False,2
1,3,0,,0,0,-0.5756585948904911,1,Third,0,False,,Queenstown,yes,True,1
0,2,1,2.4498364486712774,0,0,-0.51477653028829,2,Second,1,True,,Southampton,no,True,1
0,1,1,-0.1267512326935003,1,0,1.0719384790540496,0,First,1,True,,Cherbourg,no,False,2
0,1,1,0.8225179130724705,1,0,0.40398917189038097,2,First,1,True,,Southampton,no,False,2
1,3,1,,0,0,-0.5871885509795188,0,Third,1,True,,Cherbourg,yes,True,1
0,3,1,-0.6013858055764857,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,0,-0.8048006225263366,2,0,-0.34873453591865067,2,Third,0,False,,Southampton,no,False,3
1,3,0,-1.076020378459471,1,0,-0.4983560839917618,0,Third,0,False,,Cherbourg,yes,False,2
0,3,0,0.6869080351059033,1,0,-0.537468936185474,2,Third,0,False,,Southampton,no,False,2
0,2,0,-0.19455617167678393,1,0,-0.2823177381707949,2,Second,0,False,,Southampton,no,False,2
0,3,1,,0,0,-0.5724307385199453,0,Third,1,True,,Cherbourg,no,True,1
1,2,0,-1.821874707275591,1,2,0.17328378323342933,0,Second,0,False,,Cherbourg,yes,False,4
1,3,0,-0.736995683543053,0,0,-0.5727982448008168,1,Third,0,False,,Queenstown,yes,True,1
0,3,1,,0,0,-0.5690169151157055,2,Third,1,True,,Southampton,no,True,1
0,3,1,,1,0,-0.40408186737519713,1,Third,1,True,,Queenstown,no,False,2
0,3,1,,2,0,-0.26728097516068033,0,Third,1,True,,Cherbourg,no,False,3
0,3,0,-0.8048006225263366,1,0,-0.35316232243517437,2,Third,0,False,,Southampton,no,False,2
0,3,1,-1.5506549513424566,4,1,0.13140356446688975,2,Third,0,False,,Southampton,no,False,6
0,3,1,-0.6013858055764857,0,0,-0.5745516482613602,2,Third,1,True,,Southampton,no,True,1
1,1,0,1.297152485955456,1,0,0.9514672635124725,0,First,0,False,D,Cherbourg,yes,False,2
